"","YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","ORIGIN_AIRPORT_ID","OP_CARRIER","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","AIRLINE_NAME","AIRPORT_NAME"
"11186",2019,12,27,5,10721,"B6","BOS","Boston, MA","MA","TPA","Tampa, FL","FL",935,1004,29,29,1,1308,1322,14,14,0,0,0,1185,0,0,0,0,0,"JetBlue Airways","Boston, MA: Logan International"
"11187",2019,12,9,1,10397,"DL","ATL","Atlanta, GA","GA","TPA","Tampa, FL","FL",1944,1943,-1,0,0,2111,2100,-11,0,0,0,0,406,0,0,0,0,0,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"11188",2019,12,28,6,14524,"MQ","RIC","Richmond, VA","VA","MIA","Miami, FL","FL",1807,1826,19,19,1,2039,2051,12,12,0,0,0,825,0,0,0,0,0,"Envoy Air","Richmond, VA: Richmond International"
"11189",2019,12,29,7,12953,"YX","LGA","New York, NY","NY","CMH","Columbus, OH","OH",1100,1056,-4,0,0,1309,1249,-20,0,0,0,0,479,0,0,0,0,0,"Republic Airline","New York, NY: LaGuardia"
"11190",2019,12,27,5,11042,"WN","CLE","Cleveland, OH","OH","ATL","Atlanta, GA","GA",730,731,1,1,0,930,927,-3,0,0,0,0,554,0,0,0,0,0,"Southwest Airlines Co.","Cleveland, OH: Cleveland-Hopkins International"
"11191",2019,12,18,3,10397,"WN","ATL","Atlanta, GA","GA","MCO","Orlando, FL","FL",1325,1335,10,10,0,1455,1500,5,5,0,0,0,404,0,0,0,0,0,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"11192",2019,12,25,3,13795,"OH","OAJ","Jacksonville/Camp Lejeune, NC","NC","CLT","Charlotte, NC","NC",646,644,-2,0,0,812,756,-16,0,0,0,0,191,0,0,0,0,0,"PSA Airlines Inc.","Jacksonville/Camp Lejeune, NC: Albert J Ellis"
"11193",2019,12,15,7,15304,"WN","TPA","Tampa, FL","FL","CMH","Columbus, OH","OH",910,904,-6,0,0,1125,1107,-18,0,0,0,0,829,0,0,0,0,0,"Southwest Airlines Co.","Tampa, FL: Tampa International"
"11194",2019,12,5,4,11298,"AA","DFW","Dallas/Fort Worth, TX","TX","IAH","Houston, TX","TX",1224,1223,-1,0,0,1338,1329,-9,0,0,0,0,224,0,0,0,0,0,"American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
"11195",2019,12,3,2,10140,"WN","ABQ","Albuquerque, NM","NM","OAK","Oakland, CA","CA",520,521,1,1,0,655,659,4,4,0,0,0,889,0,0,0,0,0,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport"
"11196",2019,12,11,3,14679,"DL","SAN","San Diego, CA","CA","LAX","Los Angeles, CA","CA",618,611,-7,0,0,720,712,-8,0,0,0,0,109,0,0,0,0,0,"Delta Air Lines Inc.","San Diego, CA: San Diego International"
"11197",2019,12,22,7,10994,"WN","CHS","Charleston, SC","SC","BWI","Baltimore, MD","MD",1140,1150,10,10,0,1305,1310,5,5,0,0,0,472,0,0,0,0,0,"Southwest Airlines Co.","Charleston, SC: Charleston AFB/International"
"11198",2019,12,3,2,13796,"WN","OAK","Oakland, CA","CA","RNO","Reno, NV","NV",2015,2117,62,62,1,2115,2205,50,50,1,0,0,181,50,0,0,0,0,"Southwest Airlines Co.","Oakland, CA: Metropolitan Oakland International"
"11199",2019,12,5,4,11603,"OO","EUG","Eugene, OR","OR","DEN","Denver, CO","CO",1248,1238,-10,0,0,1635,1620,-15,0,0,0,0,996,0,0,0,0,0,"SkyWest Airlines Inc.","Eugene, OR: Mahlon Sweet Field"
"11200",2019,12,26,4,12264,"UA","IAD","Washington, DC","VA","MSY","New Orleans, LA","LA",1705,1713,8,8,0,1856,1849,-7,0,0,0,0,955,0,0,0,0,0,"United Air Lines Inc.","Washington, DC: Washington Dulles International"
"11201",2019,12,22,7,11618,"UA","EWR","Newark, NJ","NJ","IAD","Washington, DC","VA",600,554,-6,0,0,723,704,-19,0,0,0,0,212,0,0,0,0,0,"United Air Lines Inc.","Newark, NJ: Newark Liberty International"
"11202",2019,12,21,6,13930,"AS","ORD","Chicago, IL","IL","SFO","San Francisco, CA","CA",1735,1907,92,92,1,2038,2227,109,109,1,0,0,1846,0,0,17,0,92,"Alaska Airlines Inc.","Chicago, IL: Chicago O'Hare International"
"11203",2019,12,16,1,12264,"AS","IAD","Washington, DC","VA","SEA","Seattle, WA","WA",1925,2024,59,59,1,2227,2305,38,38,1,0,0,2306,0,38,0,0,0,"Alaska Airlines Inc.","Washington, DC: Washington Dulles International"
"11204",2019,12,26,4,10397,"DL","ATL","Atlanta, GA","GA","PBI","West Palm Beach/Palm Beach, FL","FL",1254,1247,-7,0,0,1440,1428,-12,0,0,0,0,545,0,0,0,0,0,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"11205",2019,12,23,1,13158,"WN","MAF","Midland/Odessa, TX","TX","HOU","Houston, TX","TX",1120,1209,49,49,1,1245,1324,39,39,1,0,0,441,5,0,0,0,34,"Southwest Airlines Co.","Midland/Odessa, TX: Midland International Air and Space Port"
"11206",2019,12,13,5,10599,"DL","BHM","Birmingham, AL","AL","ATL","Atlanta, GA","GA",1159,1216,17,17,1,1403,1428,25,25,1,0,0,134,4,0,8,0,13,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International"
"11207",2019,12,19,4,11697,"WN","FLL","Fort Lauderdale, FL","FL","MDW","Chicago, IL","IL",605,606,1,1,0,820,816,-4,0,0,0,0,1167,0,0,0,0,0,"Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
